time, x1, y1, z1, x2, y2, z2, x3, y3, z3, x4, y4, z4
0.68708, 0.03125, -0.11719, 0.88281, 0.06250, -0.09375, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68761, 0.02344, -0.12500, 0.90625, 0.04688, -0.09375, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68814, 0.03125, -0.10938, 0.91406, 0.03125, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68867, 0.02344, -0.12500, 0.89844, 0.03906, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68921, 0.03125, -0.10938, 0.89062, 0.03906, -0.07812, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68975, 0.04688, -0.12500, 0.90625, 0.04688, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69029, 0.03125, -0.12500, 0.90625, 0.02344, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69082, 0.03906, -0.12500, 0.91406, 0.05469, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69136, 0.00781, -0.10156, 0.91406, 0.04688, -0.09375, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69189, 0.04688, -0.12500, 0.85938, 0.04688, -0.05469, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69244, 0.03906, -0.11719, 0.89844, 0.05469, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69297, 0.03906, -0.12500, 0.89844, 0.04688, -0.08594, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69353, 0.01562, -0.10938, 0.89844, 0.04688, -0.06250, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69406, 0.03125, -0.11719, 0.89062, 0.02344, -0.08594, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69460, 0.03906, -0.13281, 0.89062, 0.03125, -0.09375, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69513, 0.03125, -0.11719, 0.91406, 0.05469, -0.10156, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69580, 0.03906, -0.13281, 0.89062, 0.03906, -0.07031, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69634, 0.02344, -0.12500, 0.89062, 0.03906, -0.07031, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69687, 0.03125, -0.12500, 0.88281, 0.04688, -0.06250, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69743, 0.03906, -0.11719, 0.92188, 0.05469, -0.08594, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69796, 0.03125, -0.10938, 0.92188, 0.05469, -0.09375, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69852, 0.04688, -0.11719, 0.91406, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69905, 0.02344, -0.10938, 0.90625, 0.03906, -0.09375, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.69958, 0.03125, -0.11719, 0.89062, 0.03906, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70012, 0.04688, -0.12500, 0.88281, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70065, 0.01562, -0.10938, 0.90625, 0.03125, -0.07031, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70118, 0.03906, -0.11719, 0.89062, 0.04688, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70172, 0.04688, -0.12500, 0.88281, 0.00781, -0.05469, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70226, 0.04688, -0.12500, 0.89062, 0.04688, -0.07031, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70280, 0.03125, -0.13281, 0.89062, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70334, 0.02344, -0.11719, 0.89062, 0.04688, -0.07031, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70387, 0.03125, -0.11719, 0.88281, 0.04688, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70440, 0.03906, -0.11719, 0.88281, 0.03125, -0.07031, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70498, 0.03125, -0.11719, 0.90625, 0.03906, -0.07031, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70553, 0.02344, -0.11719, 0.89844, 0.03906, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70607, 0.03125, -0.12500, 0.89844, 0.05469, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70660, 0.03125, -0.11719, 0.90625, 0.05469, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70713, 0.03906, -0.13281, 0.89062, 0.03906, -0.07812, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70766, 0.03906, -0.12500, 0.90625, 0.03906, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70819, 0.03906, -0.13281, 0.92969, 0.03125, -0.06250, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70873, 0.04688, -0.11719, 0.89844, 0.03125, -0.05469, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.70926, 0.01562, -0.11719, 0.89844, 0.04688, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
